variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
mean_without_norm,1.4785151481628418,2.2103002071380615,-0.36589252948760986,1.8444076776504517,Ouro 2.6B Thinking,50,
attention_with_norm,0.9431557059288025,1.453134298324585,-0.25498929619789124,1.1981450021266937,Ouro 2.6B Thinking,51,
attention_without_norm,1.8907270431518555,1.7316163778305054,0.07955533266067505,1.8111717104911804,Ouro 2.6B Thinking,51,
mean_with_norm,1.5363563299179077,0.9316615462303162,0.3023473918437958,1.234008938074112,Ouro 2.6B Thinking,51,
mean_without_norm,2.1427409648895264,1.5360360145568848,0.3033524751663208,1.8393884897232056,Ouro 2.6B Thinking,51,
attention_with_norm,0.34804636240005493,2.3475284576416016,-0.9997410476207733,1.3477874100208282,Ouro 2.6B Thinking,52,
attention_without_norm,1.2087740898132324,2.611630439758301,-0.7014281749725342,1.9102022647857666,Ouro 2.6B Thinking,52,
mean_with_norm,0.7516788840293884,1.6961705684661865,-0.47224584221839905,1.2239247262477875,Ouro 2.6B Thinking,52,
mean_without_norm,1.3809844255447388,2.1232264041900635,-0.37112098932266235,1.7521054148674011,Ouro 2.6B Thinking,52,
attention_with_norm,1.9392729997634888,0.33120590448379517,0.8040335476398468,1.135239452123642,Ouro 2.6B Thinking,53,
attention_without_norm,2.347393035888672,1.2300500869750977,0.5586714744567871,1.7887215614318848,Ouro 2.6B Thinking,53,
mean_with_norm,0.9979392290115356,1.3498351573944092,-0.17594796419143677,1.1738871932029724,Ouro 2.6B Thinking,53,
mean_without_norm,1.6724419593811035,1.686517596244812,-0.007037818431854248,1.6794797778129578,Ouro 2.6B Thinking,53,
attention_with_norm,1.7811297178268433,1.7811297178268433,0.0,1.7811297178268433,Ouro 2.6B Thinking,54,
attention_without_norm,1.7811297178268433,1.7811297178268433,0.0,1.7811297178268433,Ouro 2.6B Thinking,54,
mean_with_norm,1.7811297178268433,1.7811297178268433,0.0,1.7811297178268433,Ouro 2.6B Thinking,54,
mean_without_norm,1.7811297178268433,1.7811297178268433,0.0,1.7811297178268433,Ouro 2.6B Thinking,54,
attention_with_norm,0.8059061765670776,1.6232683658599854,-0.40868109464645386,1.2145872712135315,Ouro 2.6B Thinking,55,
attention_without_norm,1.2569667100906372,1.97734534740448,-0.3601893186569214,1.6171560287475586,Ouro 2.6B Thinking,55,
mean_with_norm,0.2706530690193176,1.9336689710617065,-0.8315079510211945,1.102161020040512,Ouro 2.6B Thinking,55,
mean_without_norm,0.6247998476028442,2.1434545516967773,-0.7593273520469666,1.3841271996498108,Ouro 2.6B Thinking,55,
attention_with_norm,0.2769380211830139,1.6944462060928345,-0.7087540924549103,0.9856921136379242,Ouro 2.6B Thinking,56,
attention_without_norm,0.9605735540390015,1.8866472244262695,-0.46303683519363403,1.4236103892326355,Ouro 2.6B Thinking,56,
mean_with_norm,1.2021968364715576,0.36360806226730347,0.4192943871021271,0.7829024493694305,Ouro 2.6B Thinking,56,
